feature_set,feature_column,best_model,best_R2,best_MAE,MAE_in_window_mg,MAE_out_window_mg
R,Resistance,DecisionTree,0.8045366390346226,0.04594417000934712,0.11400278006540893,0.007133888241840784
T,Temp-DC,SVR(RBF),0.9996596126481727,0.0030345972127948416,0.0045970156257467195,0.00214363134094625
cumR,cumR,GradientBoosting,0.9996386018801013,0.002045405234049105,0.005239583698279799,0.00022393156436383292
