features,feat_key,split,n_test,best_model,R2,MAE_mg,RMSE_mg,test_y_std_mg
Resistance only,R,random 50/50,190,DecisionTree,0.8045366390346227,0.04594417000934712,0.09860776710791647,0.22303778508530228
Resistance only,R,time 70/30,114,DecisionTree,-22.63917950528724,0.00905818798377193,0.009256081865194214,0.0019037546968627664
Temperature only,T,random 50/50,190,SVR(RBF),0.9996544896852413,0.0030644035688542387,0.004145805775347168,0.22303778508530228
Temperature only,T,time 70/30,114,GradientBoosting,-23.561354224837185,0.009240832794521994,0.009434896537966921,0.0019037546968627664
Resistance + Temperature,RT,random 50/50,190,SVR(RBF),0.999690513398254,0.002507081486534545,0.003923732301535711,0.22303778508530228
Resistance + Temperature,RT,time 70/30,114,GradientBoosting,-23.633935172732237,0.009255055081164034,0.009448826726171205,0.0019037546968627664
