target,feature_set,best_model,best_R2,best_MAE,best_MAE_pct
extent,I,KNN(k=5),0.8617234261838034,6.918147161229932,6.918147161229932
extent,dIdt,HistGradientBoosting,0.1673940795933968,21.885876440242175,21.885876440242175
extent,cumI,GradientBoosting,0.9981196293946265,0.6106528340551958,0.6106528340551958
extent,all,GradientBoosting,0.9977892058163645,0.6857745359666241,0.6857745359666241
rate,I,HistGradientBoosting,0.21384397405429312,114.54027086468692,5.742518342759798
rate,dIdt,RandomForest,0.101168997258547,125.6420613316516,6.299110665379104
rate,cumI,GradientBoosting,0.8955585001063637,32.13837828596514,1.6112693415203618
rate,all,GradientBoosting,0.8363633081402114,39.86210434285136,1.9985011703023845
