t,Resistance,Soot left-mg
47.0,1711.4506496,0.5000192063438178
48.0,1711.7433554,0.500019651170282
49.0,1712.0360612,0.5000200959967462
50.0,1712.328767,0.5000205408232105
51.0,1712.328767,0.5000209856496747
52.0,1712.328767,0.5000214304761389
53.0,1712.328767,0.5000218753026031
54.0,1712.328767,0.5000223201290672
55.0,1712.328767,0.5000227649555314
56.0,1712.328767,0.5000232097819957
57.0,1712.328767,0.5000236546084599
58.0,1712.328767,0.5000240994349241
59.0,1712.328767,0.5000245442613883
60.0,1712.328767,0.5000249890878525
61.0,1712.6224769,0.5000254339143168
62.0,1712.9161867999999,0.500025878740781
63.0,1713.2098967,0.5000263235672452
64.0,1713.5036066,0.5000267683937093
65.0,1713.7973164999999,0.5000272132201735
66.0,1714.0910264,0.5000276580466377
67.0,1714.3847363,0.500028102873102
68.0,1714.6784462,0.5000285476995662
69.0,1714.9721561,0.5000289925260304
70.0,1715.265866,0.5000294373524946
71.0,1715.265866,0.5000298821789588
72.0,1715.265866,0.500030327005423
73.0,1715.265866,0.5000307718318873
74.0,1715.265866,0.5000312166583514
75.0,1715.265866,0.5000316614848156
76.0,1715.265866,0.5000321063112798
77.0,1715.265866,0.500032551137744
78.0,1715.265866,0.5000329959642082
79.0,1715.265866,0.5000334407906725
80.0,1715.265866,0.5000338856171367
81.0,1714.9721561,0.5000343304436009
82.0,1714.6784462,0.5000347752700651
83.0,1714.3847363,0.5000352200965293
84.0,1714.0910264,0.5000356649229935
85.0,1713.7973164999999,0.5000361097494577
86.0,1713.5036066,0.5000365545759219
87.0,1713.2098967,0.5000369994023861
88.0,1712.9161867999999,0.5000374442288503
89.0,1712.6224769,0.5000378890553145
90.0,1712.328767,0.5000383338817788
91.0,1712.9171961,0.500038778708243
92.0,1713.5056252,0.5000392235347072
93.0,1714.0940543,0.5000396909295011
94.0,1714.6824834,0.5000401639663774
95.0,1715.2709125000001,0.5000406370032537
96.0,1715.8593416,0.5000411100401302
97.0,1716.4477707,0.5000415830770065
98.0,1717.0361998,0.5000420561138829
99.0,1717.6246289,0.5000425291507592
100.0,1718.213058,0.5000430021876355
101.0,1717.9183388000001,0.500043475224512
102.0,1717.6236196,0.5000439482613883
103.0,1717.3289004,0.5000444212982647
104.0,1717.0341812,0.500044894335141
105.0,1716.739462,0.5000453673720173
106.0,1716.4447428,0.5000458404088937
107.0,1716.1500236,0.5000463134457701
108.0,1715.8553044,0.5000467864826464
109.0,1715.5605851999999,0.5000472595195228
110.0,1715.265866,0.5000477325563991
111.0,1715.265866,0.5000482055932755
112.0,1715.265866,0.5000486786301518
113.0,1715.265866,0.5000491516670282
114.0,1715.265866,0.5000496247039046
115.0,1715.265866,0.5000500977407809
116.0,1715.265866,0.5000505707776572
117.0,1715.265866,0.5000510438145336
118.0,1715.265866,0.5000515168514099
119.0,1715.265866,0.5000519898882864
