signal,feature_column,best_model,best_R2,best_MAE,MAE_in_window,MAE_out_window
Z,Z,HistGradientBoosting,0.9297761473146594,5.955080324116468,9.13997839280663,3.355910635875072
T,Temp,KNN(k=5),0.9997850479373119,0.30918200158227727,0.6453476250985916,0.03483994101149206
cumZ,cumZ,KNN(k=5),0.9997971602858844,0.2939832182278471,0.6083518635211265,0.037429496206895015
