features,split,best_model,MAE_inside_6k_12ks,n_inside,MAE_outside,n_outside,ratio_inside_over_outside,R2_overall
R,random,DecisionTree,0.11400278006540893,69,0.007133888241840784,121,15.980455005837372,0.8045366390346226
R+dR/dt,random,KNN(k=5),0.06372754600855073,69,0.00267916288859504,121,23.786364867859756,0.9197712655562496
