Time-DC,Resistance,Soot left-mg
46.1,1711.18721438,0.500018806
92.2,1713.62331102,0.5000393125
138.3,1712.328767,0.5000611195
184.4,1712.328767,0.5000833265
230.5,1712.1824141,0.5001050330000001
276.6,1709.401709,0.50012654
322.7,1715.265866,0.5001488470000001
368.8,1706.83469004,0.5001716545
414.9,1687.79340048,0.5001939615
461.0,1668.8935249,0.5002130675
507.1,1641.69389884,0.5002292725
553.2,1627.7138952,0.5002412764999999
599.3,1615.87545106,0.500246078
645.4,1604.93445494,0.5002444775
691.5,1583.6612058,0.500236375
737.6,1561.82297408,0.50022057
783.7,1534.35755546,0.5001970625
829.8,1519.8495071,0.5001648519999999
875.9,1505.09556982,0.500123439
922.0,1485.0035770000002,0.5000729230000001
968.1,1488.93923225,0.500012704
1014.2,1462.33341524,0.49994238175
1060.3,1442.8148479800002,0.49986125610000004
1106.4,1424.3450915600001,0.49976972715
1152.5,1428.571429,0.49966889524999997
1198.6,1407.86427776,0.49955836025000006
1244.7,1388.23071588,0.49943932259999996
1290.8,1369.41449128,0.4993128826
1336.9,1347.02113995,0.49917834005000006
1383.0,1319.4396163000001,0.49903559485000004
1429.1,1299.1584689400001,0.49888544735
1475.2,1280.34625244,0.49872879779999996
1521.3,1252.32032693,0.49856574620000005
1567.4,1233.44141528,0.4983968928
1613.5,1206.20345675,0.498223738
1659.6,1187.87521464,0.49804778229999996
1705.7,1175.088132,0.4978688257
1751.8,1158.26629816,0.4976879685
1797.9,1140.04680916,0.497506311
1844.0,1120.8279668,0.49732325310000003
1890.1,1102.52368954,0.49713839460000003
1936.2,1085.21557094,0.49695243575
1982.3,1063.31029474,0.4967657767
2028.4,1043.45167616,0.4965796178
2074.5,1020.04622555,0.49639515945
2120.6,1009.85712242,0.49621150129999997
2166.7,990.0990099,0.49602954375
2212.8,977.7270131599998,0.4958488866
2258.9,953.3882784009999,0.49566852955
2305.0,943.3962264,0.4954888727
2351.1,934.5794393,0.49531051625000005
2397.2,899.7378768440004,0.49513516074999997
2443.3,869.5652174,0.49496210599999996
2489.4,855.142941348,0.49478935135
2535.5,840.3361345,0.49461579645
2581.6,826.446281,0.4944433419
2627.7,814.5408503300001,0.49427478854999995
2673.8,800.0,0.49410853595
2719.9,793.6507937,0.4939421833
2766.0,777.61627904,0.49377693100000003
2812.1,763.3587786,0.49361417955
2858.2,751.8796992,0.4934532286
2904.3,743.8916528199999,0.49329357809999996
2950.4,735.079433188,0.49313652840000005
2996.5,719.4244604,0.4929826797
3042.6,707.921286614,0.49283073164999996
3088.7,699.3006993,0.49268108429999996
3134.8,709.0543259560002,0.49253403775000004
3180.9,704.2253521,0.4923896921
3227.0,691.091954,0.4922490476
3273.1,680.2721088,0.49211140405000003
3319.2,675.6756757,0.491975261
3365.3,664.3267108169999,0.49184061835000004
3411.4,661.641686968,0.49171027715
