Time-DC,Temp-DC,Resistance,Soot left-mg
46.1,216.5273,1711.18721438,0.500018806
92.2,216.4717,1713.62331102,0.5000393125
138.3,216.4105,1712.328767,0.5000611195
184.4,216.3326,1712.328767,0.5000833265
230.5,216.3696,1712.1824141,0.5001050330000001
276.6,216.3102,1709.401709,0.50012654
322.7,216.2138,1715.265866,0.5001488470000001
368.8,216.1052,1706.83469004,0.5001716545
414.9,217.1275,1687.79340048,0.5001939615
461.0,218.8419,1668.8935249,0.5002130675
507.1,220.3848,1641.69389884,0.5002292725
553.2,221.9725,1627.7138952,0.5002412764999999
599.3,223.6944,1615.87545106,0.500246078
645.4,225.4263,1604.93445494,0.5002444775
691.5,227.101,1583.6612058,0.500236375
737.6,228.8356,1561.82297408,0.50022057
783.7,230.5873,1534.35755546,0.5001970625
829.8,232.3207,1519.8495071,0.5001648519999999
875.9,234.0518,1505.09556982,0.500123439
922.0,235.7735,1485.0035770000002,0.5000729230000001
968.1,237.5252,1488.93923225,0.500012704
1014.2,239.2372,1462.33341524,0.49994238175
1060.3,240.9452,1442.8148479800002,0.49986125610000004
1106.4,242.6344,1424.3450915600001,0.49976972715
1152.5,244.3262,1428.571429,0.49966889524999997
1198.6,245.9985,1407.86427776,0.49955836025000006
1244.7,247.685,1388.23071588,0.49943932259999996
1290.8,249.3118,1369.41449128,0.4993128826
1336.9,251.0802,1347.02113995,0.49917834005000006
1383.0,252.734,1319.4396163000001,0.49903559485000004
1429.1,254.4002,1299.1584689400001,0.49888544735
1475.2,256.0943,1280.34625244,0.49872879779999996
1521.3,257.7819,1252.32032693,0.49856574620000005
1567.4,259.4344,1233.44141528,0.4983968928
1613.5,261.0312,1206.20345675,0.498223738
1659.6,262.6558,1187.87521464,0.49804778229999996
1705.7,264.3177,1175.088132,0.4978688257
1751.8,265.9046,1158.26629816,0.4976879685
1797.9,267.6034,1140.04680916,0.497506311
1844.0,269.269,1120.8279668,0.49732325310000003
1890.1,270.8515,1102.52368954,0.49713839460000003
1936.2,272.5351,1085.21557094,0.49695243575
1982.3,274.2197,1063.31029474,0.4967657767
2028.4,275.8918,1043.45167616,0.4965796178
2074.5,277.4522,1020.04622555,0.49639515945
2120.6,279.1195,1009.85712242,0.49621150129999997
2166.7,280.7224,990.0990099,0.49602954375
2212.8,282.3358,977.7270131599998,0.4958488866
2258.9,283.9348,953.3882784009999,0.49566852955
2305.0,285.4984,943.3962264,0.4954888727
2351.1,287.1515,934.5794393,0.49531051625000005
2397.2,288.727,899.7378768440004,0.49513516074999997
2443.3,290.2881,869.5652174,0.49496210599999996
2489.4,291.9409,855.142941348,0.49478935135
2535.5,293.5489,840.3361345,0.49461579645
2581.6,295.1157,826.446281,0.4944433419
