Resistance,Soot left-mg,Time-DC
228.378420748,0.44395206645,7698.7
216.9197397,0.00470058725,12170.4
221.92658288,0.0112193498,11986.0
246.90749858499998,0.0733903207,11110.1
1505.09556982,0.500123439,875.9
209.77573421,-0.0017066400000000002,12447.0
584.7953216,0.49094543515,3688.0
263.8522427,0.20410107759999999,10095.9
265.2519894,0.19081227299999998,10188.1
675.6756757,0.491975261,3319.2
134.322003336,-0.0038071044999999997,16964.8
154.3209877,-0.007319616,14705.9
136.11929787,-0.004080491,16826.5
133.5113485,-0.0036255470000000002,17057.0
236.28953121199999,0.45434555494999995,7422.1
413.13811516,0.4875110485,4840.5
234.741784,0.45278406089999995,7468.2
548.729958596,0.4904560803,3872.4
224.16508659,0.37364782215,8759.0
130.2083333,-0.003018555,17379.7
347.718253935,0.4845158008,5485.9
264.80288552800005,0.1710546217,10326.4
229.91683884,0.02501571495,11709.4
253.164557,0.26985788305,9634.9
136.13783389,-0.0050369935,16365.5
378.7878788,0.48638239140000006,5117.1
255.42825825,0.46787703630000005,6915.0
240.74374419999998,0.45866582185,7283.8
249.171846499,0.46478055655,7053.3
1534.35755546,0.5001970625,783.7
228.8329519,0.022366976900000002,11755.5
627.515723264,0.491450695,3503.6
384.46802239000004,0.48658265475,5071.0
161.684207192,-0.0072079805,14244.9
247.93012799800002,0.28863392375,9496.6
140.31745905399998,-0.005828444,15996.7
280.58414376,0.4757411245,6454.0
132.1003963,-0.0033574625,17195.3
1712.1824141,0.5001050330000001,230.5
462.962963,0.48877134725,4471.7
1583.6612058,0.500236375,691.5
751.8796992,0.4934532286,2858.2
709.0543259560002,0.49253403775000004,3134.8
169.141857564,-0.0071115499999999995,13922.2
229.331555885,0.3502142078,8989.5
245.369032125,0.46248423000000005,7145.5
248.7562189,0.0781751346,11064.0
155.70510119600002,-0.0073061115,14567.6
1485.0035770000002,0.5000729230000001,922.0
136.9863014,-0.005230655,16273.3
1102.52368954,0.49713839460000003,1890.1
371.844310055,0.48596095804999995,5209.3
1604.93445494,0.5002444775,645.4
395.445134576,0.48696947715,4978.8
263.8522427,0.1518375414,10464.7
187.9699248,-0.0069840095,13369.0
1712.328767,0.5000833265,184.4
1712.328767,0.5000611195,138.3
323.6245955,0.48237282275,5808.6
1428.571429,0.49966889524999997,1152.5
1299.1584689400001,0.49888544735,1429.1
607.61271253,0.49119551424999996,3595.8
257.0694087,0.11544232595000001,10741.3
223.2142857,0.37795648545,8712.9
221.2389381,0.39390343105,8528.5
137.59332159700003,-0.0054275174999999995,16181.1
140.601542383,-0.006229371,15812.3
139.27770847899998,-0.004648971,16549.9
150.1501502,-0.0072689,15028.6
221.2389381,0.40115192445,8436.3
139.4700139,-0.005727612,16042.8
580.0174754530001,0.49082259624999997,3734.1
223.219279308,0.013171567500000002,11939.9
1627.7138952,0.5002412764999999,553.2
195.45391999400002,-0.0065815825,13046.3
526.3157895,0.49008236205000005,4010.7
1175.088132,0.4978688257,1705.7
137.7410468,-0.00436218,16688.2
793.6507937,0.4939421833,2719.9
1085.21557094,0.49695243575,1936.2
934.5794393,0.49531051625000005,2351.1
254.4529262,0.2634550572,9681.0
172.1170396,-0.007091043500000001,13830.0
173.493765638,-0.0070810405,13783.9
158.4786054,-0.0072861055,14429.3
329.7316137840001,0.48304493540000004,5716.4
265.2519894,0.1775963915,10280.3
743.8916528199999,0.49329357809999996,2904.3
191.54524073899998,-0.006887079000000001,13230.7
306.83341202599996,0.48042880769999996,6039.1
222.7171492,0.38212190335,8666.8
1424.3450915600001,0.49976972715,1106.4
1043.45167616,0.4965796178,2028.4
1711.18721438,0.500018806,46.1
239.93497511800004,0.31250577684999997,9312.2
157.03616352,-0.0073208165000000006,14752.0
452.4886878,0.4884788547,4563.9
221.2389381,0.4142550703,8251.9
225.85109750799995,0.0174882333,11847.7
474.046490645,0.4890490351,4379.5
138.738693552,-0.0056271805,16088.9
468.2550129399999,0.48891129155,4425.6
146.862313186,-0.0071566645,15259.1
225.88684718,0.43775080435,7837.0
691.091954,0.4922490476,3227.0
953.3882784009999,0.49566852955,2258.9
250.6265664,0.27619858925,9588.8
198.88636314000001,-0.006128939,12908.0
262.4671916,0.14557085860000002,10510.8
257.80521594,0.46882313564999994,6868.9
269.65833760800007,0.47299565585000003,6638.4
220.7505519,0.4079383717,8344.1
303.47241410400005,0.47999156935000004,6085.2
143.8848921,-0.006816856999999999,15535.7
129.7016861,-0.0029352285,17425.8
218.3406114,0.0061453444,12124.3
243.902439,0.30077066385,9404.4
540.5405405,0.4903321411,3918.5
337.360087338,0.4836666321,5624.2
150.8295626,-0.0072841045,14982.5
139.45835902599998,-0.005928776,15950.6
494.75686488800005,0.4894471611,4241.2
561.7977528,0.49057911925,3826.3
212.09831231600003,2.7308649999999998e-05,12354.8
344.8275862,0.48424411485,5532.0
184.76118499199995,-0.0070209215,13461.2
800.0,0.49410853595,2673.8
224.7191011,0.01525992825,11893.8
144.854128635,-0.006974607000000001,15443.5
1063.31029474,0.4967657767,1982.3
408.73201740199994,0.487335593,4886.6
204.9180328,-0.0041983285,12631.4
145.7725948,-0.0070812405,15351.3
1140.04680916,0.497506311,1797.9
855.142941348,0.49478935135,2489.4
149.4768311,-0.0072513945,15074.7
313.4796238,0.4812524683,5946.9
186.38997750099998,-0.007004516,13415.1
1347.02113995,0.49917834005000006,1336.9
221.2389381,0.39758719659999997,8482.4
231.4814815,0.4494661111,7560.4
251.2562814,0.4658571972,7007.2
241.867564995,0.0557475385,11294.5
242.03132492699996,0.30669193735,9358.3
1280.34625244,0.49872879779999996,1475.2
1252.32032693,0.49856574620000005,1521.3
316.37583356,0.4816396908,5900.8
221.72949,0.3900954262,8574.6
137.415541832,-0.005328486,16227.2
189.649100123,-0.006958902,13322.9
141.2429379,-0.0063288025,15766.2
260.22727274,0.46973012259999997,6822.8
192.50778125399998,-0.006833462,13184.6
138.121547,-0.005527149,16135.0
221.72949,0.41726282195000003,8205.8
444.4444444,0.48832600635,4610.0
142.8571429,-0.0066263965,15627.9
144.308485348,-0.0069018840000000005,15489.6
233.6448598,0.33472950840000004,9127.8
243.3090024,0.059923659850000005,11248.4
359.7122302,0.4852743408,5347.6
214.47280147599997,0.0021498802,12262.6
664.3267108169999,0.49184061835000004,3365.3
145.403845504,-0.0070331255,15397.4
1407.86427776,0.49955836025000006,1198.6
229.8850575,0.4458630711,7652.6
143.2664756,-0.006723727499999999,15581.8
136.425648,-0.004174321,16780.4
222.34595395,0.42567168250000004,8067.5
135.63740792200002,-0.003988462,16872.6
1120.8279668,0.49732325310000003,1844.0
228.3105023,0.3551440676,8943.4
156.70301852,-0.007300109999999999,14521.5
514.6973301370001,0.4898305824,4102.9
680.2721088,0.49211140405000003,3273.1
520.8333333,0.4899567223,4056.8
183.91493336400003,-0.0070338255,13507.3
244.4987775,0.0642611322,11202.3
200.8032129,-0.005669494000000001,12815.8
256.621185136,0.25048555364999997,9773.2
1668.8935249,0.5002130675,461.0
138.58099514,-0.0045525405000000005,16596.0
230.9468822,0.34517871455,9035.6
232.70992570799996,0.0307765377,11617.2
151.59792154800002,-0.007297109,14936.4
226.7573696,0.3599613918,8897.3
350.90190266199994,0.48477798375,5439.8
977.7270131599998,0.4958488866,2212.8
223.7136465,0.43077229635000003,7975.3
