Resistance,Temp-DC,Soot left-mg,Time-DC
228.378420748,468.6846,0.44395206645,7698.7
216.9197397,615.9891,0.00470058725,12170.4
221.92658288,610.0007,0.0112193498,11986.0
246.90749858499998,581.2422,0.0733903207,11110.1
1505.09556982,234.0518,0.500123439,875.9
209.77573421,625.0047,-0.0017066400000000002,12447.0
584.7953216,333.2142,0.49094543515,3688.0
263.8522427,547.8723,0.20410107759999999,10095.9
265.2519894,550.8752,0.19081227299999998,10188.1
675.6756757,320.5609,0.491975261,3319.2
134.322003336,773.2899,-0.0038071044999999997,16964.8
154.3209877,699.2491,-0.007319616,14705.9
136.11929787,768.9938,-0.004080491,16826.5
133.5113485,776.4044,-0.0036255470000000002,17057.0
236.28953121199999,459.446,0.45434555494999995,7422.1
413.13811516,372.6494,0.4875110485,4840.5
234.741784,460.9712,0.45278406089999995,7468.2
548.729958596,339.5466,0.4904560803,3872.4
224.16508659,503.8364,0.37364782215,8759.0
130.2083333,787.1013,-0.003018555,17379.7
347.718253935,394.5111,0.4845158008,5485.9
264.80288552800005,555.4691,0.1710546217,10326.4
229.91683884,600.8837,0.02501571495,11709.4
253.164557,532.5772,0.26985788305,9634.9
136.13783389,754.116,-0.0050369935,16365.5
378.7878788,382.0431,0.48638239140000006,5117.1
255.42825825,442.5178,0.46787703630000005,6915.0
240.74374419999998,454.7932,0.45866582185,7283.8
249.171846499,447.1592,0.46478055655,7053.3
1534.35755546,230.5873,0.5001970625,783.7
228.8329519,602.3359,0.022366976900000002,11755.5
627.515723264,326.9142,0.491450695,3503.6
384.46802239000004,380.4919,0.48658265475,5071.0
161.684207192,684.2578,-0.0072079805,14244.9
247.93012799800002,528.0495,0.28863392375,9496.6
140.31745905399998,741.8439,-0.005828444,15996.7
280.58414376,427.1271,0.4757411245,6454.0
132.1003963,780.8788,-0.0033574625,17195.3
1712.1824141,216.3696,0.5001050330000001,230.5
462.962963,360.0134,0.48877134725,4471.7
1583.6612058,227.101,0.500236375,691.5
751.8796992,304.7983,0.4934532286,2858.2
709.0543259560002,314.335,0.49253403775000004,3134.8
169.141857564,673.5341,-0.0071115499999999995,13922.2
229.331555885,511.498,0.3502142078,8989.5
245.369032125,450.2585,0.46248423000000005,7145.5
248.7562189,579.6769,0.0781751346,11064.0
155.70510119600002,694.8011,-0.0073061115,14567.6
1485.0035770000002,235.7735,0.5000729230000001,922.0
136.9863014,750.9765,-0.005230655,16273.3
1102.52368954,270.8515,0.49713839460000003,1890.1
371.844310055,385.149,0.48596095804999995,5209.3
1604.93445494,225.4263,0.5002444775,645.4
395.445134576,377.3211,0.48696947715,4978.8
263.8522427,560.0107,0.1518375414,10464.7
187.9699248,655.3434,-0.0069840095,13369.0
1712.328767,216.3326,0.5000833265,184.4
1712.328767,216.4105,0.5000611195,138.3
323.6245955,405.5826,0.48237282275,5808.6
1428.571429,244.3262,0.49966889524999997,1152.5
1299.1584689400001,254.4002,0.49888544735,1429.1
607.61271253,330.1085,0.49119551424999996,3595.8
257.0694087,569.0952,0.11544232595000001,10741.3
223.2142857,502.2956,0.37795648545,8712.9
221.2389381,496.229,0.39390343105,8528.5
137.59332159700003,747.895,-0.0054275174999999995,16181.1
140.601542383,735.7369,-0.006229371,15812.3
139.27770847899998,760.2887,-0.004648971,16549.9
150.1501502,709.9864,-0.0072689,15028.6
221.2389381,493.1216,0.40115192445,8436.3
139.4700139,743.3655,-0.005727612,16042.8
580.0174754530001,334.7655,0.49082259624999997,3734.1
223.219279308,608.5184,0.013171567500000002,11939.9
1627.7138952,221.9725,0.5002412764999999,553.2
195.45391999400002,644.7232,-0.0065815825,13046.3
526.3157895,344.3294,0.49008236205000005,4010.7
1175.088132,264.3177,0.4978688257,1705.7
137.7410468,764.4953,-0.00436218,16688.2
793.6507937,299.993,0.4939421833,2719.9
1085.21557094,272.5351,0.49695243575,1936.2
934.5794393,287.1515,0.49531051625000005,2351.1
254.4529262,534.077,0.2634550572,9681.0
172.1170396,670.5026,-0.007091043500000001,13830.0
173.493765638,669.0118,-0.0070810405,13783.9
158.4786054,690.1743,-0.0072861055,14429.3
329.7316137840001,402.3897,0.48304493540000004,5716.4
265.2519894,553.9785,0.1775963915,10280.3
743.8916528199999,306.42,0.49329357809999996,2904.3
191.54524073899998,650.7998,-0.006887079000000001,13230.7
306.83341202599996,413.3661,0.48042880769999996,6039.1
222.7171492,500.7003,0.38212190335,8666.8
1424.3450915600001,242.6344,0.49976972715,1106.4
1043.45167616,275.8918,0.4965796178,2028.4
1711.18721438,216.5273,0.500018806,46.1
239.93497511800004,522.0252,0.31250577684999997,9312.2
157.03616352,700.8746,-0.0073208165000000006,14752.0
452.4886878,363.2349,0.4884788547,4563.9
221.2389381,486.9663,0.4142550703,8251.9
225.85109750799995,605.4091,0.0174882333,11847.7
474.046490645,356.9321,0.4890490351,4379.5
138.738693552,744.9608,-0.0056271805,16088.9
468.2550129399999,358.4687,0.48891129155,4425.6
146.862313186,717.5611,-0.0071566645,15259.1
225.88684718,473.2622,0.43775080435,7837.0
691.091954,317.375,0.4922490476,3227.0
953.3882784009999,283.9348,0.49566852955,2258.9
250.6265664,531.064,0.27619858925,9588.8
198.88636314000001,640.1168,-0.006128939,12908.0
262.4671916,561.3956,0.14557085860000002,10510.8
257.80521594,440.9846,0.46882313564999994,6868.9
269.65833760800007,433.2673,0.47299565585000003,6638.4
220.7505519,490.0581,0.4079383717,8344.1
303.47241410400005,414.8641,0.47999156935000004,6085.2
143.8848921,726.5154,-0.006816856999999999,15535.7
129.7016861,788.6744,-0.0029352285,17425.8
218.3406114,614.5601,0.0061453444,12124.3
243.902439,525.109,0.30077066385,9404.4
540.5405405,341.1784,0.4903321411,3918.5
337.360087338,399.3663,0.4836666321,5624.2
150.8295626,708.563,-0.0072841045,14982.5
139.45835902599998,740.2037,-0.005928776,15950.6
494.75686488800005,352.1838,0.4894471611,4241.2
561.7977528,337.9782,0.49057911925,3826.3
