pair,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Resistance vs Temp-DC,-0.7986018923754082,3.803636159450558e-85,-0.9662355800497193,3.9191779965493764e-224
Resistance vs Soot left-mg,0.5988669052321294,2.9691185952645086e-38,0.9320794034402395,2.465152318236369e-168
Temp-DC vs Soot left-mg,-0.929340914748767,3.2575218623858698e-165,-0.9656936977448017,7.486485242274199e-223
