,Resistance,Temp-DC,Soot left-mg
Resistance,1.0,-0.7986018923754086,0.59886690523213
Temp-DC,-0.7986018923754086,1.0,-0.9293409147487672
Soot left-mg,0.59886690523213,-0.9293409147487672,1.0
